State,Region,Unemployment,Violent crime
KS,Midwest,0.065,276.17
GA,South,0.079,417.71
TX,South,0.042,192.64
TN,South,0.09,537.09
WA,West,0.092,340.75
CA,West,0.116,492.59
IN,Midwest,0.103,118.5
IL,Midwest,0.094,167.23
NY,Northeast,0.076,161.59
WV,South,0.062,
NC,South,0.113,214.63
VA,South,0.067,122.97
PA,Northeast,0.069,200.85
KS,Midwest,0.053,329.64
AR,South,0.07,299.61
IA,Midwest,0.034,92.03
IA,Midwest,0.031,
IA,Midwest,0.063,128.21
SD,Midwest,0.031,9.86
ND,Midwest,0.025,25.84
IA,Midwest,0.051,229.24
OH,Midwest,0.063,80.04
TX,South,0.052,237.21
MI,Midwest,0.105,1088.54
KY,South,0.083,55.49
NC,South,0.084,364.87
KS,Midwest,0.04,206.5
IL,Midwest,0.089,312.79
NJ,Northeast,0.067,445.19
MT,West,0.043,423.46
LA,South,0.078,234.62
MI,Midwest,0.113,227.3
MO,Midwest,0.066,145.58
SD,Midwest,0.09,
AZ,West,0.076,879.14
NE,Midwest,0.027,112.99
KY,South,0.086,56.81
WI,Midwest,0.081,105.78
MO,Midwest,0.055,207.55
OH,Midwest,0.116,53.01
IL,Midwest,0.087,250.45
TX,South,0.055,254.25
KS,Midwest,0.05,148.63
KS,Midwest,0.031,313.55
AZ,West,0.093,338.94
KY,South,0.124,36.03
IA,Midwest,0.042,48.19
GA,South,0.104,367.4
MO,Midwest,0.057,0.0
GA,South,0.08,538.35
CT,Northeast,0.092,416.79
RI,Northeast,0.099,125.24
CA,West,0.101,430.5
CA,West,0.152,507.82
MN,Midwest,0.057,356.29
TX,South,0.033,204.15
NY,Northeast,0.105,150.19
WI,Midwest,0.078,188.15
NE,Midwest,0.029,45.16
VA,South,0.063,142.54
IL,Midwest,0.088,358.12
MN,Midwest,0.042,153.05
VA,South,0.042,93.32
GA,South,0.092,
KS,Midwest,0.03,151.83
OH,Midwest,0.07,60.46
GA,South,0.097,377.55
OH,Midwest,0.07,321.61
NE,Midwest,0.042,140.66
IL,Midwest,0.082,225.9
IN,Midwest,0.101,81.2
AR,South,0.072,521.18
NM,West,0.063,156.67
IA,Midwest,0.042,15.62
TX,South,0.057,262.94
WI,Midwest,0.095,66.74
CO,West,0.074,369.17
